domain,threshold_name,threshold,accuracy,macro_precision,macro_recall,macro_f1,real_recall,fake_recall,roc_auc,confusion_matrix
ffpp_validation,default,0.5,0.6666666666666666,0.8,0.6666666666666666,0.625,1.0,0.3333333333333333,0.8544444444444445,"[[30, 0], [20, 10]]"
ffpp_validation,selected_E3b_T,0.17,0.8,0.8013392857142857,0.8,0.7997775305895439,0.8333333333333334,0.7666666666666667,0.8544444444444445,"[[25, 5], [7, 23]]"
ffpp_test,default,0.5,0.5833333333333334,0.7727272727272727,0.5833333333333334,0.4957983193277311,1.0,0.16666666666666666,0.8400000000000001,"[[30, 0], [25, 5]]"
ffpp_test,selected_E3b_T,0.17,0.7,0.7556818181818181,0.7,0.6827262044653349,0.9333333333333333,0.4666666666666667,0.8400000000000001,"[[28, 2], [16, 14]]"
celebdf_v2_pilot,default,0.5,0.725,0.7821316614420062,0.725,0.7103357472021066,0.95,0.5,0.8025,"[[19, 1], [10, 10]]"
celebdf_v2_pilot,selected_E3b_T,0.17,0.675,0.6790281329923273,0.675,0.6731615336266499,0.6,0.75,0.8025,"[[12, 8], [5, 15]]"
